Panelist,Smoothies,X,Y
P8,Immedia_SRB,31,13
P8,Innocent_PBC,21,19
P8,Innocent_SB,21,24.5
P9,Carrefour_MP,6.8,4.5
P9,Carrefour_SB,27,15
P9,Casino_PBC,37,21.9
P9,Casino_SRB,22,20
P9,Immedia_MP,7,17.8
P9,Immedia_SRB,10,13.7
P9,Innocent_PBC,43,27.5
P9,Innocent_SB,51.8,10
P10,Carrefour_MP,45.8,14
P10,Carrefour_SB,8.5,20.8
P10,Casino_PBC,12.5,22
P10,Casino_SRB,46,22
P10,Immedia_MP,27,18
P10,Immedia_SRB,46,18.5
P10,Innocent_PBC,13,28
P10,Innocent_SB,34,20
P11,Carrefour_MP,57,35
P11,Carrefour_SB,5,7
P11,Casino_PBC,19,15
P11,Casino_SRB,52,12
P11,Immedia_MP,41.9,35
P11,Immedia_SRB,44.5,19
P11,Innocent_PBC,29,25
P11,Innocent_SB,34.5,12
P12,Carrefour_MP,10,33
P12,Carrefour_SB,2.5,27
P12,Casino_PBC,34.5,7
P12,Casino_SRB,22,26
P12,Immedia_MP,33.5,16.5
P12,Immedia_SRB,26,14
P12,Innocent_PBC,27,6
P12,Innocent_SB,38,23
P13,Carrefour_MP,34,5.2
P13,Carrefour_SB,44.2,21.8
P13,Casino_PBC,53.7,4.3
P13,Casino_SRB,23.7,21
P13,Immedia_MP,13.5,16.1
P13,Immedia_SRB,4.2,7.1
P13,Innocent_PBC,48.7,21.7
P13,Innocent_SB,30.6,35.6
P14,Carrefour_MP,8.8,8.2
P14,Carrefour_SB,8.5,33.9
P14,Casino_PBC,53.9,32.6
P14,Casino_SRB,24,22
P14,Immedia_MP,29,21
P14,Immedia_SRB,45,25.2
P14,Innocent_PBC,44.5,34.3
P14,Innocent_SB,35.1,5.2
P15,Carrefour_MP,28.7,35.9
P15,Carrefour_SB,40.2,19
P15,Casino_PBC,55.8,13.2
P15,Casino_SRB,3,21
P15,Immedia_MP,47.1,34
P15,Immedia_SRB,17.9,20.1
P15,Innocent_PBC,56,3
P15,Innocent_SB,23.6,4.4
P16,Carrefour_MP,7.2,8.1
P16,Carrefour_SB,27.2,21.7
P16,Casino_PBC,41,32.2
P16,Casino_SRB,38.8,7.6
P16,Immedia_MP,16,12.5
P16,Immedia_SRB,6.2,31.7
P16,Innocent_PBC,48.4,28
P16,Innocent_SB,11.2,19.8
P17,Carrefour_MP,27.8,23.7
P17,Carrefour_SB,42.2,18.4
P17,Casino_PBC,3,3.6
P17,Casino_SRB,55,38
P17,Immedia_MP,25.6,27
P17,Immedia_SRB,2.3,36.2
P17,Innocent_PBC,7.6,8.2
P17,Innocent_SB,55.2,3.9
P18,Carrefour_MP,54.4,16
P18,Carrefour_SB,14.7,14.2
P18,Casino_PBC,6.4,33
P18,Casino_SRB,43.7,16.3
P18,Immedia_MP,34,32
P18,Immedia_SRB,54.3,11
P18,Innocent_PBC,5,13.8
P18,Innocent_SB,14,10.2
P19,Carrefour_MP,10.2,37.2
P19,Carrefour_SB,54.1,22.7
P19,Casino_PBC,52,28.2
P19,Casino_SRB,23,5
P19,Immedia_MP,30.1,20.7
P19,Immedia_SRB,3.9,31.9
P19,Innocent_PBC,39.2,28.2
P19,Innocent_SB,36,34
P20,Carrefour_MP,6.3,24
P20,Carrefour_SB,32.2,30.9
P20,Casino_PBC,51,32.6
P20,Casino_SRB,12,25.2
P20,Immedia_MP,8.3,28.3
P20,Immedia_SRB,22.3,12.2
P20,Innocent_PBC,53,21
P20,Innocent_SB,43.7,11
P21,Carrefour_MP,52.6,4.8
P21,Carrefour_SB,30,32.1
P21,Casino_PBC,9.9,33.9
P21,Casino_SRB,54,28.4
P21,Immedia_MP,8,26.2
P21,Immedia_SRB,49.3,15.6
P21,Innocent_PBC,10,16.8
P21,Innocent_SB,30.1,17.9
P22,Carrefour_MP,11.7,18.7
P22,Carrefour_SB,39,27
P22,Casino_PBC,54,4.9
P22,Casino_SRB,5.7,33.8
P22,Immedia_MP,35,16
P22,Immedia_SRB,19.6,24.2
P22,Innocent_PBC,45,6.1
P22,Innocent_SB,29.8,31.2
P23,Carrefour_MP,53.6,23.5
P23,Carrefour_SB,28.2,35
P23,Casino_PBC,12.2,22.1
P23,Casino_SRB,37.1,12
P23,Immedia_MP,38.2,16.1
P23,Immedia_SRB,48.7,17.5
P23,Innocent_PBC,9.7,27.8
P23,Innocent_SB,31.8,30.4
P24,Carrefour_MP,4.6,13
P24,Carrefour_SB,52.2,7.9
P24,Casino_PBC,54.6,37
P24,Casino_SRB,19,19.9
P24,Immedia_MP,3,21
P24,Immedia_SRB,27.7,35.5
P24,Innocent_PBC,42,33.8
P24,Innocent_SB,53.8,19.6
