Panelist,Cheese,Preference Rank
Panelist 26,Cheese1,4
Panelist 26,Cheese2,2
Panelist 26,Cheese3,5
Panelist 26,Cheese4,1
Panelist 26,Cheese5,3
Panelist 27,Cheese1,5
Panelist 27,Cheese2,2
Panelist 27,Cheese3,3
Panelist 27,Cheese4,4
Panelist 27,Cheese5,1
Panelist 28,Cheese1,3
Panelist 28,Cheese2,1
Panelist 28,Cheese3,2
Panelist 28,Cheese4,4
Panelist 28,Cheese5,5
Panelist 29,Cheese1,2
Panelist 29,Cheese2,5
Panelist 29,Cheese3,3
Panelist 29,Cheese4,1
Panelist 29,Cheese5,4
Panelist 30,Cheese1,5
Panelist 30,Cheese2,2
Panelist 30,Cheese3,1
Panelist 30,Cheese4,4
Panelist 30,Cheese5,3
Panelist 31,Cheese1,3
Panelist 31,Cheese2,5
Panelist 31,Cheese3,2
Panelist 31,Cheese4,4
Panelist 31,Cheese5,1
Panelist 32,Cheese1,1
Panelist 32,Cheese2,5
Panelist 32,Cheese3,3
Panelist 32,Cheese4,4
Panelist 32,Cheese5,2
Panelist 33,Cheese1,4
Panelist 33,Cheese2,3
Panelist 33,Cheese3,2
Panelist 33,Cheese4,1
Panelist 33,Cheese5,5
Panelist 34,Cheese1,2
Panelist 34,Cheese2,4
Panelist 34,Cheese3,5
Panelist 34,Cheese4,1
Panelist 34,Cheese5,3
Panelist 35,Cheese1,2
Panelist 35,Cheese2,3
Panelist 35,Cheese3,1
Panelist 35,Cheese4,4
Panelist 35,Cheese5,5
Panelist 36,Cheese1,1
Panelist 36,Cheese2,4
Panelist 36,Cheese3,5
Panelist 36,Cheese4,3
Panelist 36,Cheese5,2
Panelist 37,Cheese1,2
Panelist 37,Cheese2,3
Panelist 37,Cheese3,5
Panelist 37,Cheese4,1
Panelist 37,Cheese5,4
Panelist 38,Cheese1,5
Panelist 38,Cheese2,2
Panelist 38,Cheese3,3
Panelist 38,Cheese4,4
Panelist 38,Cheese5,1
Panelist 39,Cheese1,5
Panelist 39,Cheese2,1
Panelist 39,Cheese3,3
Panelist 39,Cheese4,4
Panelist 39,Cheese5,2
Panelist 40,Cheese1,2
Panelist 40,Cheese2,3
Panelist 40,Cheese3,5
Panelist 40,Cheese4,4
Panelist 40,Cheese5,1
