Panelist,Smoothies,Comments
P16,Immedia_SRB,acid
P16,Casino_SRB,liquid;fruit juice;unknown taste
P16,Innocent_PBC,creamy;soft
P16,Casino_PBC,creamy;soft
P16,Innocent_SB,acid
P16,Carrefour_SB,tasteless;neutral
P17,Immedia_MP,slightly acid;liquid;unkown taste
P17,Carrefour_MP,slightly acid;liquid;unkown taste
P17,Immedia_SRB,soft fruits;liquid;acid
P17,Casino_SRB,no sweet;liquid;tasteless
P17,Innocent_PBC,banana;sweet;doughy
P17,Casino_PBC,banana;sweet;doughy
P17,Innocent_SB,doughy;slightly tasteless;not too sweet
P17,Carrefour_SB,doughy;slightly tasteless;not too sweet
P18,Immedia_MP,banana;apple;pear;ananas;acid
P18,Carrefour_MP,soft fruits;blueberry;raspberry
P18,Immedia_SRB,soft fruits;blueberry;raspberry
P18,Casino_SRB,soft fruits;blueberry;raspberry
P18,Innocent_PBC,banana;strawberry;thick
P18,Casino_PBC,banana;very sweet;thick;soft
P18,Innocent_SB,banana;strawberry;thick
P18,Carrefour_SB,banana;strawberry;thick
P19,Immedia_MP,ordinary;nice
P19,Carrefour_MP,acid;thick
P19,Immedia_SRB,acid;thick
P19,Casino_SRB,few taste
P19,Innocent_PBC,soft;nice;good
P19,Casino_PBC,soft;tasteless;unpleasant
P19,Innocent_SB,soft;nice;good
P19,Carrefour_SB,soft;tasteless;unpleasant
P20,Immedia_MP,orange
P20,Carrefour_MP,orange
P20,Immedia_SRB,strawberry;good;thick
P20,Casino_SRB,orange
P20,Innocent_PBC,strawberry;thick;sweet
P20,Casino_PBC,strawberry;thick;sweet
P20,Innocent_SB,strawberry;acid
P20,Carrefour_SB,strawberry;thick
P21,Immedia_MP,banana flavor;smell
P21,Carrefour_MP,litchi taste
P21,Immedia_SRB,litchi taste
P21,Casino_SRB,litchi taste
P21,Innocent_PBC,banana flavor;smell
P21,Casino_PBC,banana flavor;smell
P21,Innocent_SB,unknown taste
P21,Carrefour_SB,unknown taste
P22,Immedia_MP,soft fruits;soft;sweet
P22,Carrefour_MP,acid;strong;soft fruits
P22,Immedia_SRB,acid;strong;soft fruits
P22,Casino_SRB,acid;strong;soft fruits
P22,Innocent_PBC,soft;smooth in the mouth;no soft fruits
P22,Casino_PBC,soft;smooth in the mouth;no soft fruits
P22,Innocent_SB,soft fruits;soft;sweet
P22,Carrefour_SB,soft fruits;soft;sweet
P23,Immedia_MP,sweet
P23,Carrefour_MP,very sweet
P23,Immedia_SRB,very sweet
P23,Casino_SRB,sweet
P23,Innocent_PBC,exotic
P23,Casino_PBC,exotic
P23,Innocent_SB,thick in the mouth;slightly sweet
P23,Carrefour_SB,thick in the mouth;slightly sweet
P24,Immedia_MP,slightly acid
P24,Carrefour_MP,slightly acid
P24,Immedia_SRB,sweet;liquid
P24,Casino_SRB,slightly acid
P24,Innocent_PBC,doughy;sweet
P24,Casino_PBC,doughy;sweet
P24,Innocent_SB,doughy;sweet
P24,Carrefour_SB,doughy;sweet
